participant_id,category_folder,eval_category,artifact_group,condition,filename,relative_path,mos_score_1_to_5,optional_comment
,01_Happy,Happy,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,01_Happy/ret/LLM_VAD_ret.wav,,
,01_Happy,Happy,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,01_Happy/ret/VADPT_LLMVAD_ret.wav,,
,01_Happy,Happy,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,01_Happy/ret/TextAudioFFN_ret.wav,,
,01_Happy,Happy,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,01_Happy/ret/TextPromptTF_ret.wav,,
,01_Happy,Happy,ret,Random Prompt lower bound,Random_ret.wav,01_Happy/ret/Random_ret.wav,,
,01_Happy,Happy,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,01_Happy/gen/IndexTTS2_SpeakerOnly_gen.wav,,
,01_Happy,Happy,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,01_Happy/gen/Qwen3TTS_gen.wav,,
,01_Happy,Happy,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,01_Happy/gen/FishAudio2_gen.wav,,
,01_Happy,Happy,gen,Random Prompt + IndexTTS2,Random_gen.wav,01_Happy/gen/Random_gen.wav,,
,01_Happy,Happy,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,01_Happy/gen/LLM_VAD_gen.wav,,
,01_Happy,Happy,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,01_Happy/gen/VADPT_LLMVAD_gen.wav,,
,01_Happy,Happy,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,01_Happy/gen/TextAudioFFN_gen.wav,,
,01_Happy,Happy,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,01_Happy/gen/TextPromptTF_gen.wav,,
,01_Happy,Happy,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,01_Happy/gen/VADPT_LLMVAD_Direct_gen.wav,,
,01_Happy,Happy,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,01_Happy/gen/TextPromptTF_Direct_gen.wav,,
,01_Happy,Happy,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,01_Happy/gen/IndexTTS2_GTReference_gen.wav,,
,02_Angry,Angry,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,02_Angry/ret/LLM_VAD_ret.wav,,
,02_Angry,Angry,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,02_Angry/ret/VADPT_LLMVAD_ret.wav,,
,02_Angry,Angry,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,02_Angry/ret/TextAudioFFN_ret.wav,,
,02_Angry,Angry,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,02_Angry/ret/TextPromptTF_ret.wav,,
,02_Angry,Angry,ret,Random Prompt lower bound,Random_ret.wav,02_Angry/ret/Random_ret.wav,,
,02_Angry,Angry,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,02_Angry/gen/IndexTTS2_SpeakerOnly_gen.wav,,
,02_Angry,Angry,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,02_Angry/gen/Qwen3TTS_gen.wav,,
,02_Angry,Angry,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,02_Angry/gen/FishAudio2_gen.wav,,
,02_Angry,Angry,gen,Random Prompt + IndexTTS2,Random_gen.wav,02_Angry/gen/Random_gen.wav,,
,02_Angry,Angry,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,02_Angry/gen/LLM_VAD_gen.wav,,
,02_Angry,Angry,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,02_Angry/gen/VADPT_LLMVAD_gen.wav,,
,02_Angry,Angry,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,02_Angry/gen/TextAudioFFN_gen.wav,,
,02_Angry,Angry,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,02_Angry/gen/TextPromptTF_gen.wav,,
,02_Angry,Angry,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,02_Angry/gen/VADPT_LLMVAD_Direct_gen.wav,,
,02_Angry,Angry,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,02_Angry/gen/TextPromptTF_Direct_gen.wav,,
,02_Angry,Angry,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,02_Angry/gen/IndexTTS2_GTReference_gen.wav,,
,03_Sad,Sad,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,03_Sad/ret/LLM_VAD_ret.wav,,
,03_Sad,Sad,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,03_Sad/ret/VADPT_LLMVAD_ret.wav,,
,03_Sad,Sad,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,03_Sad/ret/TextAudioFFN_ret.wav,,
,03_Sad,Sad,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,03_Sad/ret/TextPromptTF_ret.wav,,
,03_Sad,Sad,ret,Random Prompt lower bound,Random_ret.wav,03_Sad/ret/Random_ret.wav,,
,03_Sad,Sad,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,03_Sad/gen/IndexTTS2_SpeakerOnly_gen.wav,,
,03_Sad,Sad,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,03_Sad/gen/Qwen3TTS_gen.wav,,
,03_Sad,Sad,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,03_Sad/gen/FishAudio2_gen.wav,,
,03_Sad,Sad,gen,Random Prompt + IndexTTS2,Random_gen.wav,03_Sad/gen/Random_gen.wav,,
,03_Sad,Sad,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,03_Sad/gen/LLM_VAD_gen.wav,,
,03_Sad,Sad,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,03_Sad/gen/VADPT_LLMVAD_gen.wav,,
,03_Sad,Sad,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,03_Sad/gen/TextAudioFFN_gen.wav,,
,03_Sad,Sad,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,03_Sad/gen/TextPromptTF_gen.wav,,
,03_Sad,Sad,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,03_Sad/gen/VADPT_LLMVAD_Direct_gen.wav,,
,03_Sad,Sad,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,03_Sad/gen/TextPromptTF_Direct_gen.wav,,
,03_Sad,Sad,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,03_Sad/gen/IndexTTS2_GTReference_gen.wav,,
,04_Frustrated_MSPAngry,Frustrated,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,04_Frustrated_MSPAngry/ret/LLM_VAD_ret.wav,,
,04_Frustrated_MSPAngry,Frustrated,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,04_Frustrated_MSPAngry/ret/VADPT_LLMVAD_ret.wav,,
,04_Frustrated_MSPAngry,Frustrated,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,04_Frustrated_MSPAngry/ret/TextAudioFFN_ret.wav,,
,04_Frustrated_MSPAngry,Frustrated,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,04_Frustrated_MSPAngry/ret/TextPromptTF_ret.wav,,
,04_Frustrated_MSPAngry,Frustrated,ret,Random Prompt lower bound,Random_ret.wav,04_Frustrated_MSPAngry/ret/Random_ret.wav,,
,04_Frustrated_MSPAngry,Frustrated,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,04_Frustrated_MSPAngry/gen/IndexTTS2_SpeakerOnly_gen.wav,,
